,ID,Area,City,Restaurant,price,avg_ratings,total_ratings,food_type,Address,delivery_time,Price_range,Rating_range,Delivery_range,primary_cuisine,num_of_cuisines,popularity_scores,Pop_bracket
0,211,Koramangala,Bangalore,Tandoor Hut,300.0,4.4,100,"Biryani,Chinese,North Indian,South Indian",5Th Block,59,mid range,High rated,slow ,Biryani,4,20.306530274101544,Medium Popularity
1,221,Koramangala,Bangalore,Tunday Kababi,300.0,4.1,100,"Mughlai,Lucknowi",5Th Block,56,mid range,High rated,slow ,Mughlai,2,18.921994119049163,Medium Popularity
2,246,Jogupalya,Bangalore,Kim Lee,650.0,4.4,100,Chinese,Double Road,50,premium,High rated,Moderate,Chinese,1,20.306530274101544,Medium Popularity
3,248,Indiranagar,Bangalore,New Punjabi Hotel,250.0,3.9,500,"North Indian,Punjabi,Tandoor,Chinese",80 Feet Road,57,mid range,avg rated,slow ,North Indian,4,24.24476379423097,Medium Popularity
4,249,Indiranagar,Bangalore,Nh8,350.0,4.0,50,"Rajasthani,Gujarati,North Indian,Snacks,Desserts,Beverages,Thalis,Chaat",80 Feet Road,63,mid range,avg rated,slow ,Rajasthani,8,15.727302530897303,Medium Popularity
5,254,Indiranagar,Bangalore,Treat,800.0,4.5,100,"Mughlai,North Indian",100 Feet Road,56,premium,High rated,slow ,Mughlai,2,20.768042325785668,Medium Popularity
6,258,Indiranagar,Bangalore,Chinita Real Mexican Food,1000.0,4.5,500,"Mexican,Beverages,Salads",Double Road,53,premium,High rated,Moderate,Mexican,3,27.97472745488189,High Popularity
7,263,Koramangala,Bangalore,Cupcake Noggins - Cakespastries And Desserts,150.0,4.3,100,"Desserts,British,Bakery,Pizzas,Snacks",4Th Block,57,budget,High rated,slow ,Desserts,5,19.845018222417416,Medium Popularity
8,267,Domlur,Bangalore,Tea Brew,350.0,4.1,100,"American,Italian,Beverages,Continental,Chinese,Pastas,Pizzas,Fast Food",Double Road,57,mid range,High rated,slow ,American,8,18.921994119049163,Medium Popularity
9,308,Koramangala,Bangalore,Bangaliana,300.0,4.0,500,Bengali,7Th Block,57,mid range,avg rated,slow ,Bengali,1,24.866424404339458,Medium Popularity
10,435,Koramangala,Bangalore,Bamey'S Restro Cafe,400.0,4.4,100,"Chinese,Thai,Nepalese",5Th Block,56,mid range,High rated,slow ,Chinese,3,20.306530274101544,Medium Popularity
11,446,Cooke Town,Bangalore,Altaf'S Chillies Restaurants,250.0,4.3,500,"North Indian,Chinese",Cooke Town,55,mid range,High rated,Moderate,North Indian,2,26.731406234664917,High Popularity
12,453,Pulikeshi Nagar,Bangalore,Chichabas Taj,532.0,4.2,100,"Mughlai,North Indian,Biryani",Mm Road,54,premium,High rated,Moderate,Mughlai,3,19.38350617073329,Medium Popularity
13,464,Sivanchetti Gardens,Bangalore,Urban Solace,500.0,2.9,80,"American,Continental",Ulsoor Lake,48,premium,below avg rated,Moderate,American,2,12.743902548550073,Medium Popularity
14,504,Kodihalli,Bangalore,Kaati Zone Rolls & Wraps,150.0,4.3,100,"Fast Food,Beverages,Bengali,Biryani,Indian,North Indian,Snacks,Street Food",Domlur Layout,59,budget,High rated,slow ,Fast Food,8,19.845018222417416,Medium Popularity
15,604,Koramangala,Bangalore,Aalishan Restaurant & Caterer,290.0,4.3,100,"Mughlai,North Indian",7Th Block,52,mid range,High rated,Moderate,Mughlai,2,19.845018222417416,Medium Popularity
16,608,Domlur,Bangalore,Kerala Pavilion,300.0,4.1,100,"Kerala,Seafood",Domlur Layout,55,mid range,High rated,Moderate,Kerala,2,18.921994119049163,Medium Popularity
17,621,Indiranagar,Bangalore,Kitchen Of Joy,250.0,4.4,100,"Bengali,Fast Food,Chinese",Domlur,55,mid range,High rated,Moderate,Bengali,3,20.306530274101544,Medium Popularity
18,1050,Jayanagar,Bangalore,Nagarjuna Chimney,800.0,4.2,1000,"Seafood,Andhra,Biryani,South Indian,Combo,Desserts,Beverages",3Rd Block,48,premium,High rated,Moderate,Seafood,7,29.016770073123926,High Popularity
19,1299,Film Nagar,Hyderabad,So. The Sky Kitchen,800.0,2.9,80,"Mughlai,North Indian,Chinese,Thai,Asian",Near Apollo Health City Gate,90,premium,below avg rated,slow ,Mughlai,5,12.743902548550073,Medium Popularity
20,1304,Indiranagar,Bangalore,Esplanade,1200.0,4.3,100,"Mughlai,Bengali",I Indirangar,54,premium,High rated,Moderate,Mughlai,2,19.845018222417416,Medium Popularity
21,1457,Banashankari,Bangalore,Hotel New Karavali,250.0,3.8,100,"North Indian,Chinese,South Indian",Bsk 1St Stage,53,mid range,avg rated,Moderate,North Indian,3,17.537457963996786,Medium Popularity
22,1547,Masab Tank,Hyderabad,Dine Hill,400.0,4.1,500,"Arabian,Biryani,North Indian,Chinese",Ahmed Nagar,49,mid range,High rated,Moderate,Arabian,4,25.488085014447943,High Popularity
23,1590,Banjara Hills,Hyderabad,Sarvi Restaurant,400.0,4.1,5000,"Biryani,Tandoor,Chinese,Indian,Desserts,Kebabs,Mughlai",Road 11,56,mid range,High rated,slow ,Biryani,7,34.9213120028175,High Popularity
24,1593,Banjara Hills,Hyderabad,Sarvi Bakery,250.0,4.1,100,"Desserts,Fast Food,Bakery",Opposite Care Hospital Road 11 Banjara Hills,58,mid range,High rated,slow ,Desserts,3,18.921994119049163,Medium Popularity
25,1609,Andheri East,Mumbai,Kung Fu Panda,600.0,4.3,100,Chinese  Thai  Asian,Marol,58,premium,High rated,slow ,Chinese  Thai  Asian,1,19.845018222417416,Medium Popularity
26,1617,Powai,Mumbai,Kosho,300.0,4.2,100,"Mughlai,North Indian,Chinese,Seafood,Italian",Chandivali,56,mid range,High rated,slow ,Mughlai,5,19.38350617073329,Medium Popularity
27,1844,Punjagutta,Hyderabad,Chinese Pavilion,850.0,4.3,500,"Chinese,Seafood",Nagarjuna Circle,64,premium,High rated,slow ,Chinese,2,26.731406234664917,High Popularity
28,1848,Banjara Hills,Hyderabad,Chef Inam'S Steak House,1200.0,4.2,100,"Steakhouse,American",Sri Ram Nagar Colony Banjara Hills,69,premium,High rated,slow ,Steakhouse,2,19.38350617073329,Medium Popularity
29,1874,Indiranagar,Bangalore,Mamagoto,900.0,4.2,100,"Chinese,Asian,Pan-Asian,Thai,Oriental",Mamagoto,59,premium,High rated,slow ,Chinese,5,19.38350617073329,Medium Popularity
30,1884,Powai,Mumbai,Hakka Express,300.0,4.0,100,"Chinese,Asian,Thai",Narayan Plaza,48,mid range,avg rated,Moderate,Chinese,3,18.46048206736504,Medium Popularity
31,2008,Indiranagar,Bangalore,The Brekkie Shop - All Day Menu,200.0,4.3,500,"British,Italian,Indian,Chinese,South Indian,North Indian,Desserts",1St Stage,57,mid range,High rated,slow ,British,7,26.731406234664917,High Popularity
32,2042,Aundh,Pune,Juice Destination,200.0,4.2,500,"Thalis,North Indian,Punjabi,Beverages",Iti Road Aundh,60,mid range,High rated,slow ,Thalis,4,26.10974562455643,High Popularity
33,2047,Aundh,Pune,Hyderabadi Spice,400.0,4.2,1000,"Biryani,Mughlai,North Indian,Chinese",Parihar Chowk,58,mid range,High rated,slow ,Biryani,4,29.016770073123926,High Popularity
34,2102,Aundh,Pune,Cafe Peterdonuts,400.0,4.1,50,"Continental,Desserts",Gaikwad Nagar,71,mid range,High rated,slow ,Continental,2,16.120485094169734,Medium Popularity
35,2250,Baner,Pune,Karolbaug,750.0,4.1,50,"Mughlai,North Indian,Chinese,Biryani",Sakal Nagar,72,premium,High rated,slow ,Mughlai,4,16.120485094169734,Medium Popularity
36,2312,Powai Area,Mumbai,The Punjabi'S Kitchen,500.0,4.4,500,North Indian,Guru Hargobindji Marg  Andheri East,65,premium,High rated,slow ,North Indian,1,27.353066844773405,High Popularity
37,2344,Ramgopalpet,Hyderabad,Aangan - Yatri Nivas,500.0,4.1,100,North Indian  South Indian,S P Road,66,premium,High rated,slow ,North Indian  South Indian,1,18.921994119049163,Medium Popularity
38,2348,Kalasiguda,Hyderabad,Bluefox,800.0,4.2,1000,Biryani  North Indian  Chinese  Tandoor,Sd Road,68,premium,High rated,slow ,Biryani  North Indian  Chinese  Tandoor,1,29.016770073123926,High Popularity
39,2516,Aundh,Pune,Taaareef,1100.0,4.4,100,"Mughlai,North Indian,Seafood,Biryani",Iti Road,67,premium,High rated,slow ,Mughlai,4,20.306530274101544,Medium Popularity
